country,hdi,life_expectancy,pop_millions,hdi_f,hdi_m,life_expec_f,life_expec_m,expec_yr_school,expec_yr_school_f,expec_yr_school_m,mean_yr_school,mean_yr_school_f,mean_yr_school_m,gross_inc_percap,gross_inc_percap_f,gross_inc_percap_m,gender_development,gender_inequality,secondary_education_f_%,secondary_education_m_%,seats_in_parliament_f_%,seats_in_parliament_m_%,labour_participation_f_%,labour_participation_m_%,co2_emission_tons,HDI_Category
Bahrain,0.888,79.246,1.472233,0.847333815,0.90429854,80.497,78.242,16.29968071,17.0064106,15.73036003,11.04658985,10.78437042,11.17325974,48731.44564,22722.17852,64699.53364,0.937,0.181,79.90357208,83.08016205,22.5,77.5,42.43,85.77,26.05303892,Very
Iraq,0.673,71.336,44.4961215,0.568529848,0.723617504,73.362,69.162,12.22275571,11.6435291,12.7723928,6.811878947,5.648159084,7.995557168,9091.865377,2086.880407,16070.25809,0.786,0.562,25.29957764,40.35295432,28.87537994,71.12462006,10.77,68.24,3.872579593,Medium
Israel,0.915,82.601,9.038309,0.909960997,0.917964595,84.508,80.625,15.02984047,15.58275986,14.49588013,13.44279092,13.49055743,13.39140912,43588.25725,37414.65081,49792.14767,0.991,0.092,92.49434106,94.50644355,23.33333333,76.66666667,61.15,68.54,6.162801842,Very
Jordan,0.736,74.215,11.2858685,0.661558113,0.766688653,76.675,72.12,12.62659427,12.88729797,12.37726514,10.44668007,10.07157993,10.8373003,9294.801499,2752.787924,15380.3539,0.863,0.449,77.37870026,84.21157074,13.33333333,86.66666667,13.81,60.71,2.033264689,High
Kuwait,0.847,80.264,4.268873,0.847552134,0.835979298,82.752,78.878,15.6911416,17.84918291,13.82607425,7.441742908,8.272894602,7.039573868,56729.18152,28017.72588,75231.9156,1.014,0.199,61.80728762,56.45168673,6.25,93.75,44.41,88.45,24.30127757,Very
Lebanon,0.723,74.416,5.4897395,0.689545665,0.743431443,76.597,72.237,12.05109224,12.79566002,11.29957437,8.602969077,8.047852662,9.158085491,12313.42257,6545.545361,18438.82237,0.928,0.365,54.74398998,61.07482541,6.25,93.75,29.81,70.17,4.19696919,High
Oman,0.819,73.935,4.576298,0.780083394,0.832785671,76.046,72.356,12.96403027,13.46502972,12.58940983,11.89274979,12.27042007,11.69499016,32967.43827,13055.18531,45769.09652,0.937,0.267,93.2646637,98.6502533,9.941520468,90.05847953,34.97,83.84,15.67723806,Very
Qatar,0.875,81.559,2.695122,0.892561376,0.869100423,83.101,80.626,13.26426983,15.28956032,12.64908981,10.1317219,11.79638314,9.737610384,95944.37754,47963.67663,114134.8423,1.027,0.212,81.8327411,71.4179765,4.444444444,95.55555556,61.73,95.33,39.88427351,Very
Saudi Arabia,0.875,77.905,36.40882,0.832017761,0.896577417,79.525,76.666,15.17204484,15.52692067,14.817169,11.31052971,10.73622036,11.67045021,50620.43706,24647.00035,69723.10773,0.928,0.229,71.27487946,80.92530823,19.86754967,80.13245033,34.46,79.64,17.56422655,Very
United Arab Emirates,0.937,79.196,9.4411285,0.922939594,0.936027371,81.412,77.72,17.20813942,19.75328064,16.37989998,12.77375031,12.58837032,12.90589046,74103.71494,51509.56703,84087.84953,0.986,0.035,82.02913666,86.14517212,50.0,50.0,55.32,89.45,25.33327567,Very
Yemen,0.424,63.72,33.696614,0.219081434,0.480185337,67.222,60.493,7.935313345,6.881697407,8.919806255,2.776825958,1.754562204,3.587975855,1105.763435,149.9716669,2041.915582,0.456,0.82,23.7,38.2,0.294117647,99.70588235,5.84,64.69,0.351346981,Low
